SegmenID,Sentimen,Label_Teks,Label_Multimodal,nota serena on neutral label,
J5mWlI8q-Q - 1,kite boleh tengok bagaimana berat nye hukuman bagi orang yang murtad,-1,-1,,
J5mWlI8q-Q - 2,"kalau zaman sekarang pun, lebih kurang kite kene kuarantin kan mereke dulu",0,0,,
J5mWlI8q-Q - 3,"dan kite boleh tengok isu ni, isu murtad ni bukan isu yang kecil",-1,-1,,
J5mWlI8q-Q - 4,"bukan isu yang kite boleh sembang kedai kopi..aa boleh,  boleh bersuke-suke",-1,-1,,
J5mWlI8q-Q - 5,"kalau lah isu ni tidak penting, tidak lah Saidina Abu Bakar As-Siddiq ni menubuhkan satu pasukan yang khusus",1,1,,
J5mWlI8q-Q - 6,baginye itu satu sebagai aib bagi mereke yang keluar daripada agama Islam,-1,-1,,
J5mWlI8q-Q - 7,"tapi sekarang lain, sekarang ade dalam kalangan kite ni sanggup buat live video, live FB, Instagram, YouTube dan sebagainye mengatekan mengishtiharkan diri die ni keluar daripade agame Islam",-1,-1,,
J5mWlI8q-Q - 8,tak malu nak mengate demikian,-1,-1,,
J5mWlI8q-Q - 9,mereke ni seolah-olah tak malu nak beritahu kepade satu dunia die ni dah keluar daripade agame yang sebetulnye,-1,-1,,
J5mWlI8q-Q - 10,"boleh jadi dibelakang mereke ni ade NGO..ade supporter,ade..backup",0,-1,, 
J5mWlI8q-Q - 11,mereke ni..sanggup ataupun berani nak murtadkan diri,-1,-1,,
J5mWlI8q-Q - 12,"jadi saye, doa kepade semua, yang melihat video ni semoga kite ni dijauhkan daripade perbuatan ni",1,1,,
J5mWlI8q-Q - 13,dan sentiase berpegang teguh dengan agame yang tuk nenek moyang kite anuti,1,1,,
J5mWlI8q-Q - 14,moga perkongsian kali ini memberi manfaat kepade semue,1,1,,
41GD1W9X9mM - 1,anda masih menonton video ini maka saye tahu lah anda berminat untuk nak tengok cara-cara nak configure pasal DNS,1,1,,
41GD1W9X9mM - 2,sebab sebenarnye DNS  server ni dia tak melajukan internet,-1,0,all MM shows 0,
41GD1W9X9mM - 3,secara langsung dia mempengaruhi kelajuan anda nak bukak website dan sebagainya,0,1,,
41GD1W9X9mM - 4,"kalau tak buat pou takpa, takda masalah",1,1,,
41GD1W9X9mM - 5,majoriti kalau orang-orang IT semua ni depa taulah untuk tukar IP DNS server ni,1,1,,
41GD1W9X9mM - 6,ramai orang yang tak tahu bahawa DNS server tu perlu di tukar,-1,-1,,
41GD1W9X9mM - 7,orang tak tau pun DNS server tu apa,0,-1,,
41GD1W9X9mM - 8,dia mungkin lambat sikit..,-1,-1,,
41GD1W9X9mM - 9,"jadi kalau anda belum ubah lagi, maka ubahlah",0,1,,
hvm6MHF8A_o - 1,semua kerja tu dia ada cabaran masing-masing,0,0,,
